n_launches,payload_budget_t,min_specific_power_w_per_kg,specific_power_used_w_per_kg,specific_impulse_s,m_LEO_t_actual,m_LEO_fits_budget,p_delivers_sp,reactor_conjunction_posterior,delivered_t_per_mission,per_mission_cost_b,breakeven_m_per_t,frame_b_p_npv_positive_zero_disc,frame_a_full_chain_p_npv_positive
1,150.0,10.996931246718978,10.996931246718978,2934,150.0,True,0.09302148127296717,0.0024836735499882234,52.44232811679745,0.3433333333333333,6.546874360128999,0.44376221464019705,0.0011021604749860542
2,300.0,5.498465623359489,8.0,2934,206.19246087598083,True,0.25,0.0066749999999999995,42.04,0.6433333333333333,15.30288614018395,0.2414011148515297,0.0016113524416339607
3,450.0,3.665643748906326,8.0,2934,206.19246087598083,True,0.25,0.0066749999999999995,42.04,0.9433333333333332,22.438947034570248,0.1699361683223768,0.001134323923551865
