MR_capture,MR_egress,MR_elec,chunk_t,delivered_t,dv_capture_km_s,dv_egress_km_s,dv_elec_residual_km_s,feasible_chunk,m_after_capture_t,m_after_coast_t,m_after_egress_t,m_at_parking_t,m_capture_prop_t,m_dry_t,m_egress_prop_t,m_elec_prop_t,tag,water_consumed_t
2.2102654249247915,1.573350159969398,1.2432257479823485,200.0,3.982118271626419,3.5,2.0,4.27,True,58.98211827162642,130.36613670460068,162.0745378161463,255.0,71.38401843297426,55.0,92.92546218385371,31.708401111545612,with_lunar_GA,196.0178817283736
2.2102654249247915,1.573350159969398,1.2432257479823485,300.0,27.11236073108776,3.5,2.0,4.27,True,82.11236073108776,181.49011188287545,225.63318009698796,355.0,99.37775115178769,55.0,129.36681990301204,44.1430682141125,with_lunar_GA,272.88763926891227
2.2102654249247915,1.573350159969398,1.2432257479823485,400.0,50.242603190549104,3.5,2.0,4.27,True,105.2426031905491,232.61408706115023,289.1918223778296,455.0,127.37148387060112,55.0,165.80817762217038,56.577735316679394,with_lunar_GA,349.7573968094509
2.2102654249247915,1.573350159969398,1.2432257479823485,522.0,78.46149899109196,3.5,2.0,4.27,True,133.46149899109196,294.9853367786455,366.7333659604565,577.0,161.52383778755353,55.0,210.26663403954348,71.74802918181103,with_lunar_GA,443.53850100890804
2.2102654249247915,1.573350159969398,1.2432257479823485,600.0,96.5030881094718,3.5,2.0,4.27,True,151.5030881094718,334.8620374176998,416.309106939513,655.0,183.358949308228,55.0,238.69089306048699,81.4470695218132,with_lunar_GA,503.49691189052817
3.5572229710736574,1.573350159969398,1.3872576772597904,200.0,-22.156716680195196,5.6,2.0,6.42,False,32.843283319804804,116.83088187068994,162.0745378161463,255.0,83.98759855088514,55.0,92.92546218385371,45.243655945456354,no_lunar_GA,222.1567166801952
3.5572229710736574,1.573350159969398,1.3872576772597904,300.0,-9.276997731252138,5.6,2.0,6.42,False,45.72300226874786,162.64691397684285,225.63318009698796,355.0,116.92391170809499,55.0,129.36681990301204,62.9862661201451,no_lunar_GA,309.27699773125215
3.5572229710736574,1.573350159969398,1.3872576772597904,400.0,3.6027212176909202,5.6,2.0,6.42,True,58.60272121769092,208.46294608299576,289.1918223778296,455.0,149.86022486530484,55.0,165.80817762217038,80.72887629483387,no_lunar_GA,396.39727878230906
3.5572229710736574,1.573350159969398,1.3872576772597904,522.0,19.315978335401468,5.6,2.0,6.42,True,74.31597833540147,264.35850525250237,366.7333659604565,577.0,190.0425269171009,55.0,210.26663403954348,102.37486070795416,no_lunar_GA,502.6840216645985
3.5572229710736574,1.573350159969398,1.3872576772597904,600.0,29.362159115577043,5.6,2.0,6.42,True,84.36215911557704,300.0950102953016,416.309106939513,655.0,215.73285117972458,55.0,238.69089306048699,116.2140966442114,no_lunar_GA,570.637840884423
