perihelion_au,a_au,e,period_yr,v_at_saturn_kms,dv_saturn_exit_kms,nu_jup_crossing_deg,t_aphelion_to_jup_yr,dv_premium_kms
0.5,5.02745,0.9005460024465683,11.272536237295652,3.038780720578497,6.6225616022499745,204.82044165232026,4.362988363537821,1.1556804325924066
0.55,5.05245,0.891141921246128,11.356723089323836,3.1792052929704857,6.482137029857986,206.1261934559289,4.388551485699457,1.0152558602004182
0.6,5.07745,0.8818304463854888,11.44111848210299,3.312386742328278,6.348955580500192,207.3875337956883,4.414316636678835,0.8820744108426242
0.65,5.10245,0.8726102166606238,11.525721901597146,3.4391850141677036,6.222157308660768,208.6107280125432,4.440287792455357,0.7552761390032003
0.7,5.12745,0.8634798974148945,11.610532837552874,3.560299581347398,6.1010427414810735,209.80086094591528,4.4664690313532045,0.6341615718235056
0.75,5.15245,0.8544381798950014,11.69555078345313,3.676308758629711,5.985033564198759,210.9621300408515,4.492864537862531,0.5181523945411914
0.8,5.17745,0.8454837806255974,11.780775236471861,3.7876974100867167,5.873644912741754,212.09805141982082,4.519478606639671,0.40676374308418595
0.85,5.20245,0.83661544080193,11.866205697429406,3.8948769855161416,5.766465337312329,213.21160855102704,4.546315646696892,0.2995841676547615
0.9,5.22745,0.8278319256999109,11.95184167074864,3.998200334807323,5.663141988021147,214.30536191895868,4.573380185793032,0.19626081836357923
0.95,5.25245,0.8191320241030378,12.03768266441183,4.097972875126757,5.563369447701713,215.38153151430953,4.600676875037135,0.09648827804414495
1.0,5.27745,0.8105145477455968,12.123728189918257,4.194461153170903,5.466881169657568,216.44205995119324,4.628210493718132,0.0
