tolerance_deg,budget_yr,viable_fraction,campaign_mean_deliv_frac
2.0,0.0,0.011111111111111112,0.1557
2.0,0.25,0.023659003831417627,0.1564905172413793
2.0,0.5,0.03625478927203065,0.15728405172413792
2.0,1.0,0.061446360153256704,0.15887112068965517
2.0,2.0,0.11173371647509579,0.16203922413793104
2.0,3.0,0.1621168582375479,0.16521336206896553
5.0,0.0,0.027777777777777776,0.15675
5.0,0.25,0.04032567049808429,0.1575405172413793
5.0,0.5,0.05292145593869732,0.15833405172413792
5.0,1.0,0.07811302681992337,0.15992112068965517
5.0,2.0,0.12840038314176244,0.16308922413793103
5.0,3.0,0.17878352490421456,0.1662633620689655
10.0,0.0,0.05555555555555555,0.15849999999999997
10.0,0.25,0.06810344827586207,0.15929051724137933
10.0,0.5,0.0806992337164751,0.16008405172413792
10.0,1.0,0.10589080459770114,0.16167112068965517
10.0,2.0,0.15617816091954023,0.16483922413793103
10.0,3.0,0.20656130268199233,0.1680133620689655
15.0,0.0,0.08333333333333333,0.16025
15.0,0.25,0.09588122605363986,0.1610405172413793
15.0,0.5,0.10847701149425287,0.16183405172413792
15.0,1.0,0.13366858237547893,0.16342112068965517
15.0,2.0,0.183955938697318,0.16658922413793104
15.0,3.0,0.23433908045977012,0.16976336206896553
