label,dv_exit_kms,dv_inbound_kms,isp_s,m_dry_t,m_collected_t,m_delivered_t,delivered_fraction
as-reported (prior round),7.4,24.7,5000.0,200.0,200.0,7.8479366162615065,0.039239683081307535
direct from 100k circular,8.06,24.7,5000.0,200.0,200.0,5.0689951793874,0.025344975896937003
