jettison_t,m_dry_effective_t,dv_exit_kms,dv_inbound_kms,m_delivered_t,delivered_fraction
0.0,200.0,7.4,24.7,7.8479366162615065,0.039239683081307535
10.0,190.0,7.4,24.7,12.651738200854965,0.06325869100427482
20.0,180.0,7.4,24.7,17.455539785448423,0.08727769892724212
30.0,170.0,7.4,24.7,22.25934137004188,0.1112967068502094
40.0,160.0,7.4,24.7,27.06314295463534,0.1353157147731767
