moon,GM_moon_km3_s2,a_moon_km,R_moon_km,v_inf_at_moon_kms,dv_to_raise_apoapsis_kms,dv_ga_max_per_flyby_kms,net_dv_kms
Mimas,2.503,185539.0,198.2,2.331792288803694,2.7263764566714848,0.008649648503487229,-2.7177268081679977
Enceladus,7.211,238042.0,252.1,2.9136625296333882,3.636982152243732,0.016384522926742105,-3.6205976293169897
Tethys,41.21,294672.0,531.1,3.26908923947307,4.323386361202903,0.043385578914086745,-4.280000782288816
Dione,73.116,377415.0,561.4,3.5364294823562545,5.013278768199349,0.06762886968509756,-4.945649898514252
Rhea,153.94,527068.0,763.8,3.692341017441808,5.775688003996727,0.10245194033202516,-5.673236063664702
Titan,8978.14,1221865.0,2574.7,3.4044404272949604,7.004880074110986,1.9273283880585175,-5.077551686052468
Titan (apoapsis raise then GA then escape),8978.14,1221865.0,2574.7,3.4044404272949604,7.004880074110986,1.9273283880585175,-5.077551686052468
