target,r_p_R_saturn,r_p_km,r_a_km,v_p_hyperbolic_kms,v_p_ellipse_kms,soi_dv_kms,orbit_period_days,ring_zone_at_periapsis,tau_at_periapsis
r_a = r_titan,1.0204420256189022,61500.0,1208547.0,35.540523487367174,34.26081194243891,1.2797115449282614,5.975200552451985,Below D-ring (sub-rings),0.0
r_a = 3 r_titan,1.0204420256189022,61500.0,3625641.0,35.540523487367174,34.8275802814051,0.7129432059620768,29.55680019796743,Below D-ring (sub-rings),0.0
r_a = 6 r_titan,1.0204420256189022,61500.0,7251282.0,35.540523487367174,34.973722455765824,0.5668010316013508,82.55563790662056,Below D-ring (sub-rings),0.0
r_a = r_titan,1.0600566835224605,63887.49620253165,1208547.0,34.885974312680005,33.58299726547039,1.302977047209616,5.992057177719724,Below D-ring (sub-rings),0.0
r_a = 3 r_titan,1.0600566835224605,63887.49620253165,3625641.0,34.885974312680005,34.1595675653595,0.7264067473205031,29.585512757510696,Below D-ring (sub-rings),0.0
r_a = 6 r_titan,1.0600566835224605,63887.49620253165,7251282.0,34.885974312680005,34.30841066283713,0.5775636498428725,82.59607067734841,Below D-ring (sub-rings),0.0
r_a = r_titan,1.0996713414260189,66274.9924050633,1208547.0,34.267402093330965,32.941660620059764,1.3257414732712007,6.008929624639095,Below D-ring (sub-rings),0.0
r_a = 3 r_titan,1.0996713414260189,66274.9924050633,3625641.0,34.267402093330965,33.52779437301726,0.7396077203137068,29.614234608515122,Below D-ring (sub-rings),0.0
r_a = 6 r_titan,1.0996713414260189,66274.9924050633,7251282.0,34.267402093330965,33.67928247884188,0.5881196144890879,82.63651004675894,Below D-ring (sub-rings),0.0
r_a = r_titan,1.1392859993295767,68662.48860759493,1208547.0,33.68164608572458,32.333615331074576,1.3480307546500043,6.025817878387687,D-ring,0.0005
r_a = 3 r_titan,1.1392859993295767,68662.48860759493,3625641.0,33.68164608572458,32.92908610843532,0.752559977289259,29.64296574797593,D-ring,0.0005
r_a = 6 r_titan,1.1392859993295767,68662.48860759493,7251282.0,33.68164608572458,33.08316621031142,0.5984798754131617,82.67695601377562,D-ring,0.0005
r_a = r_titan,1.178900657233135,71049.98481012658,1208547.0,33.12592078281103,31.75605216476803,1.3698686180430002,6.042721924184671,D-ring,0.0005
r_a = 3 r_titan,1.178900657233135,71049.98481012658,3625641.0,33.12592078281103,32.36064460186287,0.7652761809481561,29.671706172891227,D-ring,0.0005
r_a = 6 r_titan,1.178900657233135,71049.98481012658,7251282.0,33.12592078281103,32.51726634190809,0.6086544409029386,82.7174085773224,D-ring,0.0005
r_a = r_titan,1.2185153151366932,73437.48101265823,1208547.0,32.597760531733435,31.206483690574878,1.3912768411585574,6.059641747290607,D-ring,0.0005
r_a = 3 r_titan,1.2185153151366932,73437.48101265823,3625641.0,32.597760531733435,31.819992588772628,0.7777679429608071,29.700455880262037,D-ring,0.0005
