tolerance_deg,mean_fraction,min_fraction,max_fraction,analytic_fraction
2.0,0.011111111111111112,0.0,0.034482758620689655,0.011111111111111112
5.0,0.027777777777777776,0.0,0.05172413793103448,0.027777777777777776
10.0,0.05555555555555555,0.05172413793103448,0.06896551724137931,0.05555555555555555
15.0,0.08333333333333333,0.05172413793103448,0.1206896551724138,0.08333333333333333
30.0,0.16666666666666666,0.15517241379310345,0.1896551724137931,0.16666666666666666
