ra_factor_titan_radii,r_a_km,v_p_hyperbolic_kms,v_p_elliptical_kms,capture_burn_kms
1.5,1812821.1373805022,18.554821261034487,16.66588972748089,1.8889315335535954
2.0,2417094.8498406694,18.554821261034487,16.91592205475851,1.6388992062759762
3.0,3625642.2747610044,18.554821261034487,17.17755638620638,1.377264874828107
4.0,4834189.699681339,18.554821261034487,17.313009663994826,1.2418115970396606
6.0,7251284.549522009,18.554821261034487,17.451718664281042,1.1031025967534447
