v_inf_saturn_kms,moon,v_inf_saturn_in_kms,v_sc_at_moon_kms,v_inf_moon_kms,flyby_altitude_km,periapsis_km,soi_km,in_soi,turn_deg,v_sc_after_kms,v_inf_saturn_after_kms,dv_capture_saving_kms,bound_after
4.0,Titan,4.0,8.875334742313797,3.244324685182736,500,3075,42848.890239149114,True,25.083909139212036,8.679033593184597,3.5431705185475404,0.09499588948630233,False
4.0,Titan,4.0,8.875334742313797,3.244324685182736,1000,3575,42848.890239149114,True,22.213050309282877,8.721233102192807,3.6453175492213683,0.07471180226221463,False
4.0,Titan,4.0,8.875334742313797,3.244324685182736,2000,4575,42848.890239149114,True,18.082403891039792,8.773084543282955,3.767684383738639,0.04968492032003624,False
4.0,Titan,4.0,8.875334742313797,3.244324685182736,5000,7575,42848.890239149114,True,11.61746065141202,8.83306593464149,3.905315226406398,0.02059236493008143,False
4.0,Titan,4.0,8.875334742313797,3.244324685182736,10000,12575,42848.890239149114,True,7.284039071118119,8.858707618365624,3.9629703354386674,0.008109286490146417,False
5.0,Titan,5.0,9.368648076863721,3.7376380197326604,500,3075,42848.890239149114,True,19.90949318027743,9.233402367692051,4.741745722366276,0.06837868194162056,False
5.0,Titan,5.0,9.368648076863721,3.7376380197326604,1000,3575,42848.890239149114,True,17.52937594952271,9.263739148408485,4.800551658052819,0.05310520836383148,False
5.0,Titan,5.0,9.368648076863721,3.7376380197326604,2000,4575,42848.890239149114,True,14.150498913847741,9.300232518217113,4.870601410994409,0.034682628897503065,False
5.0,Titan,5.0,9.368648076863721,3.7376380197326604,5000,7575,42848.890239149114,True,8.970966393082968,9.341127296040128,4.94824134139632,0.013974105965647965,False
5.0,Titan,5.0,9.368648076863721,3.7376380197326604,10000,12575,42848.890239149114,True,5.573919620881877,9.358019952518926,4.980057293206579,0.005400211913769937,False
5.44,Titan,5.44,9.610679829654211,3.9796697725231507,500,3075,42848.890239149114,True,17.909713984905995,9.49701713170313,5.2365797627593205,0.058617335886012256,False
5.44,Titan,5.44,9.610679829654211,3.9796697725231507,1000,3575,42848.890239149114,True,15.73303650402725,9.522922003655523,5.283415249588493,0.045302933197813644,False
5.44,Titan,5.44,9.610679829654211,3.9796697725231507,2000,4575,42848.890239149114,True,12.65920956268221,9.55382909182395,5.338921569723547,0.029382654712723166,False
5.44,Titan,5.44,9.610679829654211,3.9796697725231507,5000,7575,42848.890239149114,True,7.98494011156741,9.588046108253673,5.39991309058545,0.011713284893769327,False
5.44,Titan,5.44,9.610679829654211,3.9796697725231507,10000,12575,42848.890239149114,True,4.9444973988830405,9.601998726440392,5.42464862958336,0.00449498941926052,False
6.0,Titan,6.0,9.938388540810944,4.307378483679884,500,3075,42848.890239149114,True,15.629456474134177,9.847734663197118,5.848616178944534,0.047952711827470296,False
6.0,Titan,6.0,9.938388540810944,4.307378483679884,1000,3575,42848.890239149114,True,13.694249576629549,9.868767583078608,5.883961830323247,0.036855250593585964,False
6.0,Titan,6.0,9.938388540810944,4.307378483679884,2000,4575,42848.890239149114,True,10.977941233035827,9.893627519510078,5.92556315523553,0.023716556284206547,False
6.0,Titan,6.0,9.938388540810944,4.307378483679884,5000,7575,42848.890239149114,True,6.884909041262166,9.920774179209237,5.970778301590373,0.009342129082110517,False
6.0,Titan,6.0,9.938388540810944,4.307378483679884,10000,12575,42848.890239149114,True,4.247228263948296,9.931684032320886,5.988888121323971,0.0035572740943017322,False
7.0,Titan,7.0,10.5722072807963,4.94119722366524,500,3075,42848.890239149114,True,12.263140010567234,10.511984459255936,6.908708307890558,0.03331986714186286,False
7.0,Titan,7.0,10.5722072807963,4.94119722366524,1000,3575,42848.890239149114,True,10.703107606933253,10.52632156149915,6.930503504649545,0.025399470780737232,False
7.0,Titan,7.0,10.5722072807963,4.94119722366524,2000,4575,42848.890239149114,True,8.533156454376964,10.543033432899886,6.9558599165827415,0.016157695234948477,False
7.0,Titan,7.0,10.5722072807963,4.94119722366524,5000,7575,42848.890239149114,True,5.307138463297666,10.560919208633587,6.982939763678588,0.00625547663180015,False
7.0,Titan,7.0,10.5722072807963,4.94119722366524,10000,12575,42848.890239149114,True,3.2561723127138777,10.567957537236172,6.993579893066535,0.0023556109207625298,False
8.0,Titan,8.0,11.259288023144371,5.628277966013311,500,3075,42848.890239149114,True,9.68209565329802,11.219122261451766,7.943370665484538,0.023211865456644887,False
8.0,Titan,8.0,11.259288023144371,5.628277966013311,1000,3575,42848.890239149114,True,8.424990193673763,11.228870852077092,7.957133518076986,0.017583216488308295,False
8.0,Titan,8.0,11.259288023144371,5.628277966013311,2000,4575,42848.890239149114,True,6.6886616082865284,11.24011322530822,7.9729905637487395,0.01108804174662481,False
8.0,Titan,8.0,11.259288023144371,5.628277966013311,5000,7575,42848.890239149114,True,4.13377384859251,11.251962781070715,7.989687080135136,0.004237388133670805,False
8.0,Titan,8.0,11.259288023144371,5.628277966013311,10000,12575,42848.890239149114,True,2.526011858295972,11.256552572801024,7.996149638176555,0.0015825739494168545,False
