r_a_initial_km,r_p_initial_km,r_target_km,v_p_initial_kms,v_p_after_burn1_kms,v_at_target_pre_kms,v_circular_target_kms,burn1_kms,burn2_kms,total_dv_in_kms,total_dv_round_trip_kms,case
1208547.0,92000.0,95000.0,27.68140732590542,20.467293567145838,19.820957980814917,19.981888562553735,7.214113758759581,0.16093058173881758,7.375044340498398,14.750088680996797,"Post-Titan-tour (r_p=92000, r_a=r_titan)"
1208547.0,92000.0,100000.0,27.68140732590542,20.723771974815072,19.065870216829865,19.475935844010166,6.957635351090346,0.4100656271803018,7.367700978270648,14.735401956541295,"Post-Titan-tour (r_p=92000, r_a=r_titan)"
1208547.0,92000.0,105000.0,27.68140732590542,20.964328481815134,18.368744955495163,19.006567210910475,6.717078844090285,0.6378222554153119,7.354901099505597,14.709802199011193,"Post-Titan-tour (r_p=92000, r_a=r_titan)"
1208547.0,92000.0,110000.0,27.68140732590542,21.190445013211555,17.722917647413297,18.569576217810976,6.490962312693863,0.846658570397679,7.337620883091542,14.675241766183085,"Post-Titan-tour (r_p=92000, r_a=r_titan)"
2417094.0,92000.0,95000.0,28.18433054650562,20.467293567145838,19.820957980814917,19.981888562553735,7.717036979359783,0.16093058173881758,7.8779675610986,15.7559351221972,"Post-Titan-tour (r_p=92000, r_a=2 r_titan)"
2417094.0,92000.0,100000.0,28.18433054650562,20.723771974815072,19.065870216829865,19.475935844010166,7.460558571690548,0.4100656271803018,7.87062419887085,15.7412483977417,"Post-Titan-tour (r_p=92000, r_a=2 r_titan)"
2417094.0,92000.0,105000.0,28.18433054650562,20.964328481815134,18.368744955495163,19.006567210910475,7.220002064690487,0.6378222554153119,7.857824320105799,15.715648640211597,"Post-Titan-tour (r_p=92000, r_a=2 r_titan)"
2417094.0,92000.0,110000.0,28.18433054650562,21.190445013211555,17.722917647413297,18.569576217810976,6.9938855332940655,0.846658570397679,7.8405441036917445,15.681088207383489,"Post-Titan-tour (r_p=92000, r_a=2 r_titan)"
1208547.0,92000.0,95000.0,27.68140732590542,20.467293567145838,19.820957980814917,19.981888562553735,7.214113758759581,0.16093058173881758,7.375044340498398,14.750088680996797,"Direct-chemical capture (r_p=92000, r_a=r_titan)"
1208547.0,92000.0,100000.0,27.68140732590542,20.723771974815072,19.065870216829865,19.475935844010166,6.957635351090346,0.4100656271803018,7.367700978270648,14.735401956541295,"Direct-chemical capture (r_p=92000, r_a=r_titan)"
1208547.0,92000.0,105000.0,27.68140732590542,20.964328481815134,18.368744955495163,19.006567210910475,6.717078844090285,0.6378222554153119,7.354901099505597,14.709802199011193,"Direct-chemical capture (r_p=92000, r_a=r_titan)"
1208547.0,92000.0,110000.0,27.68140732590542,21.190445013211555,17.722917647413297,18.569576217810976,6.490962312693863,0.846658570397679,7.337620883091542,14.675241766183085,"Direct-chemical capture (r_p=92000, r_a=r_titan)"
