mass_model,power_mwe,isp_exit_s,isp_inbound_s,m_power_t,m_dry_total_t,m_at_exit_t,m_post_exit_t,m_at_earth_t,delivered_t,delivered_pct,t_exit_month,t_inbound_year,exit_closes,inbound_closes,mass_closes,all_close
krusty_anchored,10.0,5000,7000,4170.00,4304.13,4504.13,3873.183,2762.438,-1541.692,-770.8459,44.372,12.7586,no,no,no,no
krusty_anchored,10.0,5000,9000,4170.00,4304.13,4504.13,3873.183,2977.895,-1326.235,-663.1176,44.372,16.9997,no,no,no,no
krusty_anchored,10.0,7000,3000,4170.00,4304.13,4504.13,4043.846,1837.885,-2466.245,-1233.1223,63.445,4.6541,no,yes,no,no
krusty_anchored,10.0,7000,5000,4170.00,4304.13,4504.13,4043.846,2519.468,-1784.662,-892.3309,63.445,8.9336,no,no,no,no
krusty_anchored,10.0,7000,7000,4170.00,4304.13,4504.13,4043.846,2884.158,-1419.972,-709.9859,63.445,13.3208,no,no,no,no
krusty_anchored,10.0,7000,9000,4170.00,4304.13,4504.13,4043.846,3109.108,-1195.022,-597.5108,63.445,17.7488,no,no,no,no
krusty_anchored,10.0,9000,3000,4170.00,4304.13,4504.13,4141.887,1882.444,-2421.686,-1210.8430,82.539,4.7669,no,yes,no,no
krusty_anchored,10.0,9000,5000,4170.00,4304.13,4504.13,4141.887,2580.551,-1723.579,-861.7893,82.539,9.1502,no,no,no,no
krusty_anchored,10.0,9000,7000,4170.00,4304.13,4504.13,4141.887,2954.083,-1350.047,-675.0234,82.539,13.6438,no,no,no,no
krusty_anchored,10.0,9000,9000,4170.00,4304.13,4504.13,4141.887,3184.487,-1119.643,-559.8214,82.539,18.1791,no,no,no,no
bundled_finding_4,1.0,3000,3000,105.00,239.13,439.13,341.472,155.195,-83.935,-41.9673,24.724,3.9300,no,yes,no,no
bundled_finding_4,1.0,3000,5000,105.00,239.13,439.13,341.472,212.750,-26.380,-13.1901,24.724,7.5437,no,no,no,no
bundled_finding_4,1.0,3000,7000,105.00,239.13,439.13,341.472,243.545,4.415,2.2076,24.724,11.2484,no,no,yes,no
bundled_finding_4,1.0,3000,9000,105.00,239.13,439.13,341.472,262.540,23.410,11.7052,24.724,14.9875,no,no,yes,no
bundled_finding_4,1.0,5000,3000,105.00,239.13,439.13,377.616,171.622,-67.508,-33.7538,43.260,4.3460,no,yes,no,no
bundled_finding_4,1.0,5000,5000,105.00,239.13,439.13,377.616,235.269,-3.861,-1.9305,43.260,8.3422,no,no,no,no
bundled_finding_4,1.0,5000,7000,105.00,239.13,439.13,377.616,269.324,30.194,15.0969,43.260,12.4390,no,no,yes,no
bundled_finding_4,1.0,5000,9000,105.00,239.13,439.13,377.616,290.330,51.200,25.5999,43.260,16.5739,no,no,yes,no
bundled_finding_4,1.0,7000,3000,105.00,239.13,439.13,394.255,179.185,-59.945,-29.9727,61.856,4.5375,no,yes,no,no
bundled_finding_4,1.0,7000,5000,105.00,239.13,439.13,394.255,245.635,6.505,3.2527,61.856,8.7098,no,no,yes,no
bundled_finding_4,1.0,7000,7000,105.00,239.13,439.13,394.255,281.191,42.061,21.0305,61.856,12.9871,no,no,yes,no
bundled_finding_4,1.0,7000,9000,105.00,239.13,439.13,394.255,303.122,63.992,31.9962,61.856,17.3042,no,no,yes,no
bundled_finding_4,1.0,9000,3000,105.00,239.13,439.13,403.813,183.529,-55.601,-27.8006,80.472,4.6475,no,yes,no,no
bundled_finding_4,1.0,9000,5000,105.00,239.13,439.13,403.813,251.591,12.461,6.2304,80.472,8.9210,no,no,yes,no
bundled_finding_4,1.0,9000,7000,105.00,239.13,439.13,403.813,288.008,48.878,24.4391,80.472,13.3020,no,no,yes,no
bundled_finding_4,1.0,9000,9000,105.00,239.13,439.13,403.813,310.471,71.341,35.6707,80.472,17.7237,no,no,yes,no
bundled_finding_4,2.0,3000,3000,205.00,339.13,539.13,419.233,190.537,-148.593,-74.2965,15.177,2.4125,no,yes,no,no
bundled_finding_4,2.0,3000,5000,205.00,339.13,539.13,419.233,261.198,-77.932,-38.9660,15.177,4.6308,no,yes,no,no
bundled_finding_4,2.0,3000,7000,205.00,339.13,539.13,419.233,299.006,-40.124,-20.0620,15.177,6.9050,no,no,no,no
bundled_finding_4,2.0,3000,9000,205.00,339.13,539.13,419.233,322.327,-16.803,-8.4015,15.177,9.2002,no,no,no,no
bundled_finding_4,2.0,5000,3000,205.00,339.13,539.13,463.608,210.705,-128.425,-64.2126,26.556,2.6678,no,yes,no,no
bundled_finding_4,2.0,5000,5000,205.00,339.13,539.13,463.608,288.845,-50.285,-25.1425,26.556,5.1210,no,yes,no,no
bundled_finding_4,2.0,5000,7000,205.00,339.13,539.13,463.608,330.655,-8.475,-4.2375,26.556,7.6358,no,no,no,no
bundled_finding_4,2.0,5000,9000,205.00,339.13,539.13,463.608,356.445,17.315,8.6573,26.556,10.1741,no,no,yes,no
bundled_finding_4,2.0,7000,3000,205.00,339.13,539.13,484.035,219.989,-119.141,-59.5705,37.971,2.7854,no,yes,no,no
bundled_finding_4,2.0,7000,5000,205.00,339.13,539.13,484.035,301.572,-37.558,-18.7788,37.971,5.3466,no,yes,no,no
bundled_finding_4,2.0,7000,7000,205.00,339.13,539.13,484.035,345.225,6.095,3.0473,37.971,7.9723,no,no,yes,no
bundled_finding_4,2.0,7000,9000,205.00,339.13,539.13,484.035,372.150,33.020,16.5102,37.971,10.6224,no,no,yes,no
bundled_finding_4,2.0,9000,3000,205.00,339.13,539.13,495.771,225.323,-113.807,-56.9037,49.398,2.8529,no,yes,no,no
bundled_finding_4,2.0,9000,5000,205.00,339.13,539.13,495.771,308.884,-30.246,-15.1231,49.398,5.4762,no,yes,no,no
bundled_finding_4,2.0,9000,7000,205.00,339.13,539.13,495.771,353.594,14.464,7.2322,49.398,8.1656,no,no,yes,no
