arch,dv_inbound_km_s,m_dry_t,thrust_N,m_prop_t,delivered_t,t_burn_yr,cumulative_reactor_burn_yr,round_trip_yr,feasible
VariantB,6.42,55.0,33.14077692178267,71.18411331938415,128.81588668061585,1.3349564514924903,1.3349564514924903,14.006671605952267,True
VariantB,24.7,55.0,33.14077692178267,182.62115778157553,17.378842218424467,3.4247991776720696,3.4247991776720696,16.096514332131846,True
VariantB,32.0,55.0,33.14077692178267,205.11513728192085,-5.115137281920852,3.846641659842157,3.846641659842157,16.518356814301935,False
VariantB,40.2,55.0,33.14077692178267,222.16043767255903,-22.160437672559027,4.166301941652727,4.166301941652727,16.838017096112505,False
ArchE_500,24.7,55.0,22.590849980765284,146.9265329967271,53.073467003272896,9.911424280069726,9.911424280069726,22.5831394345295,True
ArchE_500,32.0,55.0,22.590849980765284,171.144202850049,28.855797149951,10.888833881266393,10.888833881266393,23.56054903572617,True
ArchE_500,40.2,55.0,22.590849980765284,191.93875722550666,8.061242774493337,11.72808874031265,11.72808874031265,24.399803894772425,True
