savings_kms,tps_areal_density_kg_m2,coverage_frac,dv_inbound_kms,m_dry_base_eff_t,m_shield_t,m_dry_total_t,m_post_exit_t,m_at_earth_t,m_delivered_t,delivered_fraction
0.0,0,0.3,24.7,180.0,0.0,180.0,341.1672006614783,206.15593994122335,26.15593994122335,0.13077969970611675
0.0,0,0.5,24.7,180.0,0.0,180.0,341.1672006614783,206.15593994122335,26.15593994122335,0.13077969970611675
0.0,0,1.0,24.7,180.0,0.0,180.0,341.1672006614783,206.15593994122335,26.15593994122335,0.13077969970611675
0.0,30,0.3,24.7,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,206.96347035311484,25.47497792060841,0.12737488960304205
0.0,30,0.5,24.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,207.5018239610425,25.02100324019844,0.1251050162009922
0.0,30,1.0,24.7,180.0,4.961641441688155,184.96164144168816,345.6218041387066,208.84770798086166,23.8860665391735,0.11943033269586749
0.0,50,0.3,24.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,207.5018239610425,25.02100324019844,0.1251050162009922
0.0,50,0.5,24.7,180.0,4.134701201406796,184.13470120140678,344.87937022583515,208.39907997425524,24.26437877284846,0.1213218938642423
0.0,50,1.0,24.7,180.0,8.269402402813592,188.2694024028136,348.5915397901921,210.6422200072872,22.372817604473596,0.11186408802236798
0.0,80,0.3,24.7,180.0,3.969313153350524,183.96931315335053,344.73088344326095,208.30935437293402,24.340041219583497,0.12170020609791748
0.0,80,0.5,24.7,180.0,6.615521922250873,186.61552192225088,347.10667196444933,209.74496399407442,23.129442071823547,0.11564721035911774
0.0,80,1.0,24.7,180.0,13.231043844501746,193.23104384450176,353.0461432674203,213.33398804692547,20.102944202423714,0.10051472101211857
0.0,120,0.3,24.7,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,209.38606158878932,23.432091858763528,0.11716045929381763
0.0,120,0.5,24.7,180.0,9.92328288337631,189.92328288337632,350.07640761593484,211.53947602049996,21.616193137123645,0.10808096568561823
0.0,120,1.0,24.7,180.0,19.84656576675262,199.84656576675263,358.9856145703913,216.9230120997765,17.07644633302388,0.0853822316651194
0.0,200,0.3,24.7,180.0,9.92328288337631,189.92328288337632,350.07640761593484,211.53947602049996,21.616193137123645,0.10808096568561823
0.0,200,0.5,24.7,180.0,16.538804805627183,196.5388048056272,356.0158789189058,215.128500073351,18.589695267723812,0.09294847633861907
0.0,200,1.0,24.7,180.0,33.07760961125437,213.07760961125436,370.8645571763333,224.10106020547863,11.023450594224272,0.05511725297112136
0.5,0,0.3,24.2,180.0,0.0,180.0,341.1672006614783,208.2689002752288,28.268900275228788,0.14134450137614393
0.5,0,0.5,24.2,180.0,0.0,180.0,341.1672006614783,208.2689002752288,28.268900275228788,0.14134450137614393
0.5,0,1.0,24.2,180.0,0.0,180.0,341.1672006614783,208.2689002752288,28.268900275228788,0.14134450137614393
0.5,30,0.3,24.2,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,209.08470733308698,27.59621490058055,0.13798107450290276
0.5,30,0.5,24.2,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,209.6285787049925,27.147757984148427,0.13573878992074215
