savings_kms,v_infinity_kms,entry_velocity_kms,propulsive_equiv_to_leo_kms
0.0,0.0,11.014585338728937,3.3419866903439237
0.5,1.0,11.059886535771623,3.38728788738661
1.0,2.0,11.19469026745012,3.5220916190651073
1.5,3.0,11.415826303169755,3.743227654784742
2.0,4.0,11.718408176204754,4.045809527819741
2.5,5.0,12.09632548272997,4.423726834344957
3.0,6.0,12.542770434961426,4.870171786576413
