areal_density_kg_m2,surface_area_m2,heat_shield_mass_t,mass_fraction_of_cargo_pct
0,165.38804805627183,0.0,0.0
30,165.38804805627183,4.961641441688155,2.4808207208440773
50,165.38804805627183,8.269402402813592,4.134701201406796
80,165.38804805627183,13.231043844501746,6.615521922250873
120,165.38804805627183,19.84656576675262,9.92328288337631
200,165.38804805627183,33.07760961125437,16.538804805627183
